iter	Passed	Remaining
0	1	126
1	2	111
2	3	110
3	4	99
4	5	105
5	6	107
6	8	106
7	9	104
8	10	102
9	11	99
10	12	98
11	13	96
12	14	94
13	15	92
14	16	92
15	17	90
16	18	88
17	19	86
18	20	85
19	20	83
20	21	81
21	22	80
22	23	78
23	24	77
24	25	76
25	26	74
26	27	73
27	28	72
28	28	70
29	29	69
30	30	68
31	31	67
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	52
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	66	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	76	19
80	77	18
81	77	17
82	78	16
83	79	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	92	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
